,foot,SectionID,tie_spacing,latitude,longitude,rail_section,actual_ballast_thickness,track_modulus,elasticity,tie_width,tie_thickness,tie_length,tie_plate_width,tie_plate_length,allowable_bending_stress,yellow_allowable_bending_stress,allowable_ballast/subgrade_stress,allowable_rail/tie_bearing_stress,allowable_tie/ballast_bearing_stress,rail_side,track,open_track
4835,3.6911,3106,31.1023622,36.664599,-87.489495,90,,1929.113924,30000000,9,7,102,8,14,500000,400000,25,200,75,L,A_MAIN,Unknown
4837,3.69299,3108,25.19685039,36.66462,-87.489521,100,36.2,2381.25,30000000,9,7,102,8,14,500000,400000,25,200,75,L,A_MAIN,Unknown
4838,3.69299,3108,25.19685039,36.66462,-87.489521,90,,2381.25,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,Unknown
4613,5.3392,3039,16.92913386,36.663737,-87.488007,90,,3544.186047,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,Unknown
4612,5.3411,3039,16.92913386,36.663736,-87.488005,90,,3544.186047,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,Unknown
4611,5.34299,3039,17.71653543,36.663735,-87.488004,100,,3386.666667,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,Unknown
4610,5.34489,3039,,36.663734,-87.488002,90,28,,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,No
4609,5.34678,3039,,36.663733,-87.488,90,27.92,,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,No
4608,5.35038,3038,18.11023622,36.663731,-87.487997,100,35.6,3313.043478,30000000,9,7,102,8,14,500000,400000,25,200,75,R,A_MAIN,Unknown
